Crystal,Peak,Source,Peak_Error,Source_Error,,,,,,,,,,
39,1405.54,1408.018,0.02,0.003,,,39,1405.54,1408.018,1.40554,0.2816036,,,
41,129.01,121.782,0.02,0.0003,,,41,129.01,121.782,0.12901,0.0243564,,,
41,259.01,244.697,0.04,0.0008,,,41,259.01,244.697,0.25901,0.0489394,,,
41,364.41,344.279,0.014,0.0012,,,41,364.41,344.279,0.36441,0.0688558,,,
41,825.22,778.9045,0.024,0.0024,,,41,825.22,778.9045,0.82522,0.1557809,,,
41,1491.64,1408.018,0.03,0.003,,,41,1491.64,1408.018,1.49164,0.2816036,,,
42,126.91,121.782,0.006,0.0003,,,42,126.91,121.782,0.12691,0.0243564,,,
42,255.13,244.697,0.02,0.0008,,,42,255.13,244.697,0.25513,0.0489394,,,
42,359,344.279,0.006,0.0012,,,42,359,344.279,0.359,0.0688558,,,
42,814.09,778.9045,0.02,0.0024,,,42,814.09,778.9045,0.81409,0.1557809,,,
42,1472.61,1408.018,0.03,0.003,,,42,1472.61,1408.018,1.47261,0.2816036,,,
43,128.263,121.782,0.006,0.0003,,,43,128.263,121.782,0.128263,0.0243564,,,
43,257.57,244.697,0.05,0.0008,,,43,257.57,244.697,0.25757,0.0489394,,2,
43,362.12,344.279,0.013,0.0012,,,43,362.12,344.279,0.36212,0.0688558,,,
43,819.38,778.9045,0.04,0.0024,,,43,819.38,778.9045,0.81938,0.1557809,,,
43,1480.31,1408.018,0.03,0.003,,,43,1480.31,1408.018,1.48031,0.2816036,,,
44,129.4,121.782,0.011,0.0003,,,44,129.4,121.782,0.1294,0.0243564,,,
44,260.1,244.697,0.05,0.0008,,,44,260.1,244.697,0.2601,0.0489394,,,
44,365.84,344.279,0.012,0.0012,,,44,365.84,344.279,0.36584,0.0688558,,,
44,830.11,778.9045,0.09,0.0024,,,44,830.11,778.9045,0.83011,0.1557809,,,
44,1500.82,1408.018,0.03,0.003,,,44,1500.82,1408.018,1.50082,0.2816036,,,
45,124.75,121.782,0.005,0.0003,,,45,124.75,121.782,0.12475,0.0243564,,,
45,250.8,244.697,0.01,0.0008,,,45,250.8,244.697,0.2508,0.0489394,,,
45,352.92,344.279,0.02,0.0012,,,45,352.92,344.279,0.35292,0.0688558,,,
45,802.34,778.9045,0.02,0.0024,,,45,802.34,778.9045,0.80234,0.1557809,,,
45,1449.88,1408.018,0.02,0.003,,,45,1449.88,1408.018,1.44988,0.2816036,,,
46,132.55,121.782,0.005,0.0003,,,46,132.55,121.782,0.13255,0.0243564,,,
46,266.46,244.697,0.1,0.0008,,,46,266.46,244.697,0.26646,0.0489394,,,
46,376.7,344.279,0.01,0.0012,,,46,376.7,344.279,0.3767,0.0688558,,,
46,849.85,778.9045,0.02,0.0024,,,46,849.85,778.9045,0.84985,0.1557809,,,
46,1537.18,1408.018,0.02,0.003,,,46,1537.18,1408.018,1.53718,0.2816036,,,
47,127.86,121.782,0.006,0.0003,,,47,127.86,121.782,0.12786,0.0243564,,,
47,257.02,244.697,0.04,0.0008,,,47,257.02,244.697,0.25702,0.0489394,,,
47,361.85,344.279,0.01,0.0012,,,47,361.85,344.279,0.36185,0.0688558,,,
47,821,778.9045,0.02,0.0024,,,47,821,778.9045,0.821,0.1557809,,,
47,1484.51,1408.018,0.02,0.003,,,47,1484.51,1408.018,1.48451,0.2816036,,,
48,126.1,121.782,0.01,0.0003,,,48,126.1,121.782,0.1261,0.0243564,,,
48,253.03,244.697,0.04,0.0008,,,48,253.03,244.697,0.25303,0.0489394,,,
48,356.06,344.279,0.02,0.0012,,,48,356.06,344.279,0.35606,0.0688558,,,
48,809.81,778.9045,0.025,0.0024,,,48,809.81,778.9045,0.80981,0.1557809,,,
48,1463.43,1408.018,0.02,0.003,,,48,1463.43,1408.018,1.46343,0.2816036,,,
